"X";";"; #[ ;""
"Y'";"'";P:V;""
",g"; Oyj ;"->";"+QGq"
2    ;?_;"
";` 
"";"\I";"";    >
 Mg;" ";"H";sF2
"";Zg  ;"";    [
"F#~";".Q"; L  ;""
E;"";"";""
"";"M";"";"o"
^  ;   c\|E7r ;"6";{/
"";"L"; 1;   X[8
"k:";"";"";<   
  U~h\ ;"y
_";   9  ;  ~
  ^w ;"";    #;%*` 
]e ; 03    ;e> ;""
"(";  6R:;G8X;  !6 
?i8;wO;"D";""
"HiB";"$Jd
K";T;""
h:;"";   <  ;"zt@Z"
8;"HeV";"";   n       
"v";r     ;"$p";":"
u^;"";"";e],ez
"ZR	";"";"@";""
"NHz";8;""; z
";";"";  5;""
7    ;@al( ;"nK";""
"u"; ~Q      ;";gk";iM\E
"C|";"@aq";  J;""
 J#    ;"";   *WsX;<$ 
 %&  ;rN;   f;"u"
